time,C,I,V,c_a_max,c_a_min,c_c_max,c_c_min,mass_a,mass_c,mass_e,pulse_out
88.5,-0.024889985875536,0.00028109961058724,0.54189347319601,0.0078546225624,0.0078503610075295,0.0074693630285441,0.007466718613963,1.1777967413334e-05,8.9620997382224e-06,3.303e-08,0.01
89.5,-0.025171085496073,0.00028109962053668,0.54189358385929,0.0078565690514759,0.0078523007686701,0.007466970952566,0.0074643329662014,1.178088081563e-05,8.9592320088181e-06,3.303e-08,0.01
90.5,-0.025452185126551,0.00028109963047866,0.54189369455981,0.0078585155588011,0.0078542405279111,0.0074645788780983,0.0074619473153894,1.1783794218029e-05,8.9563642792637e-06,3.303e-08,0.01
91.5,-0.025733284766965,0.00028109964041318,0.54189380530207,0.0078604620863572,0.0078561802851472,0.007462186805144,0.0074595616615216,1.1786707620531e-05,8.953496549559e-06,3.303e-08,0.01
92.5,-0.026014384417305,0.00028109965034024,0.54189391609141,0.0078624086363619,0.0078581200402605,0.0074597947337064,0.0074571760045926,1.1789621023136e-05,8.950628819704e-06,3.303e-08,0.01
93.5,-0.026295484077565,0.00028109966025986,0.54189402693459,0.0078643552112968,0.0078600597931186,0.0074574026637887,0.0074547903445966,1.1792534425844e-05,8.9477610896984e-06,3.303e-08,0.01
94.5,-0.026576583747737,0.00028109967017206,0.5418941378401,0.0078663018139384,0.0078619995435736,0.0074550105953944,0.0074524046815276,1.1795447828655e-05,8.944893359542e-06,3.303e-08,0.01
95.5,-0.026857683427814,0.00028109968007685,0.54189424881831,0.0078682484473921,0.0078639392914596,0.0074526185285272,0.0074500190153795,1.1798361231568e-05,8.9420256292346e-06,3.303e-08,0.01
96.5,-0.027138783117788,0.00028109968997428,0.54189435988242,0.0078701951151313,0.0078658790365911,0.0074502264631912,0.0074476333461455,1.1801274634583e-05,8.9391578987762e-06,3.303e-08,0.01
97.5,-0.027419882817652,0.00028109969986431,0.54189447104854,0.0078721418210395,0.0078678187787602,0.0074478343993904,0.0074452476738189,1.1804188037702e-05,8.9362901681665e-06,3.303e-08,0.01
98.5,-0.027700982527399,0.00028109970974701,0.54189458233723,0.0078740885694585,0.0078697585177348,0.0074454423371294,0.0074428619983923,1.1807101440922e-05,8.9334224374053e-06,3.303e-08,0.01
99.5,-0.027982082247022,0.00028109971962236,0.54189469377367,0.0078760353652411,0.0078716982532547,0.0074430502764131,0.0074404763198582,1.1810014844245e-05,8.9305547064924e-06,3.303e-08,0.01
100,-0.028122632109857,0.0002810997256713,0.54189476632211,0.0078770087757498,0.0078726681200577,0.0074418542465665,0.0074392834795087,1.1811471545938e-05,8.9291208409855e-06,3.303e-08,0.01
